Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
joshua lay,3:56.310,7/13/2021,,,3:56.310,"international stadium, gateshead (gbr)",7/13/2021,,,,4/11/2000,gbr,3:56.310,7/13/2021
andrew baddeley,3:56.130,7/30/2004,,,3:49.380,"bislett stadion, oslo (nor)",6/6/2008,3:55.640,"new york, ny (usa)",1/23/2010,6/20/1982,gbr,3:49.380,6/6/2008
piers copeland,3:56.050,7/19/2019,,,3:54.910,"parliament hill fields athletics track, london (gbr)",5/14/2022,,,,11/26/1998,gbr,3:54.910,5/14/2022
geoff smith,3:55.800,8/15/1981,,,3:55.800,cwmbran (gbr),8/15/1981,,,,10/24/1953,gbr,3:55.800,8/15/1981
mark rowland,3:55.720,7/11/1986,,,3:52.990,"stadio olimpico, roma (ita)",9/10/1986,,,,3/7/1963,gbr,3:52.990,9/10/1986
colin reitz,3:55.410,7/31/1982,,,3:55.410,edinburgh (gbr),7/31/1982,,,,4/6/1960,gbr,3:55.410,7/31/1982
matthew stonier,3:54.890,5/14/2022,,,3:54.890,"parliament hill fields athletics track, london (gbr)",5/14/2022,,,,9/24/2001,gbr,3:54.890,5/14/2022
james brewer,3:54.800,7/25/2009,,,3:54.800,"crystal palace, london (gbr)",7/25/2009,3:57.920,"new york, ny (usa)",1/21/2012,6/18/1988,gbr,3:54.800,7/25/2009
jake heyward,3:54.780,7/19/2019,,,3:51.990,"hayward field, eugene, or (usa)",5/28/2022,,,,4/26/1999,gbr,3:51.990,5/28/2022
john gladwin,3:54.520,9/12/1986,,,3:51.020,"letzigrund, zurich (sui)",8/19/1987,3:59.540,cosford (gbr),3/13/1987,5/7/1963,gbr,3:51.020,8/19/1987
neil horsfield,3:54.390,7/8/1986,,,3:54.390,cork (irl),7/8/1986,,,,12/7/1966,gbr,3:54.390,7/8/1986
steve crabb,3:54.360,7/21/1984,,,3:51.760,london (gbr),8/14/1987,,,,11/30/1963,gbr,3:51.760,8/14/1987
archie davis,3:54.270,7/13/2021,,,3:54.270,"international stadium, gateshead (gbr)",7/13/2021,,,,10/16/1998,gbr,3:54.270,7/13/2021
andrew butchart,3:54.230,2/4/2017,,,,,,3:54.230,"new york, ny (usa)",2/4/2017,10/14/1991,gbr,3:54.230,2/4/2017
jack buckner,3:53.440,7/13/1982,,,3:51.570,koblenz (ger),8/29/1984,3:58.070,"inglewood, ca (usa)",2/8/1985,9/22/1961,gbr,3:51.570,8/29/1984
ross murray,3:52.770,7/14/2012,,,3:52.770,"crystal palace, london (gbr)",7/14/2012,,,,10/8/1990,gbr,3:52.770,7/14/2012
nick mccormick,3:52.020,7/29/2005,,,3:52.020,oslo (nor),7/29/2005,,,,9/11/1981,gbr,3:52.020,7/29/2005
charlie da'vall grice,3:52.640,5/28/2016,,,3:52.640,"hayward field, eugene, or (usa)",5/28/2016,3:56.470,"new york, ny (usa)",2/3/2018,11/7/1993,gbr,3:52.640,5/28/2016
chris o'hare,3:52.910,2/20/2016,,,3:53.340,"hayward field, eugene, or (usa)",5/27/2017,3:52.910,"new york, ny (usa)",2/20/2016,11/23/1990,gbr,3:52.910,2/20/2016
ian stewart,3:53.200,8/25/1982,,,3:53.200,koblenz (ger),8/25/1982,,,,9/22/1960,gbr,3:53.200,8/25/1982
thomas lancashire,3:58.520,3/2/2006,,,3:53.390,"crystal palace, london (gbr)",8/14/2010,3:58.520,"gainesville, fl (usa)",3/2/2006,7/2/1985,gbr,3:53.390,8/14/2010
thomas mayo,3:55.370,8/8/2003,,,3:55.370,"crystal palace, london (gbr)",8/8/2003,,,,5/2/1977,gbr,3:55.370,8/8/2003
robert denmark,3:55.380,8/12/1990,,,3:55.380,portsmouth (gbr),8/12/1990,,,,11/23/1968,gbr,3:55.380,8/12/1990
gareth lough,3:55.910,8/27/1995,,,3:55.910,london (gbr),8/27/1995,,,,7/6/1970,gbr,3:55.910,8/27/1995
james gormley,3:56.310,8/26/2023,,,3:56.310,"university of stirling track, stirling (gbr)",8/26/2023,,,,4/3/1998,gbr,3:56.310,8/26/2023
mike mcleod,3:56.380,8/31/1979,,,3:56.380,london (gbr),8/31/1979,,,,1/25/1952,gbr,3:56.380,8/31/1979
mo farah,3:56.490,8/6/2005,,,3:56.490,london (gbr),8/6/2005,3:57.920,"boston, ma (usa)",2/4/2012,3/23/1983,gbr,3:56.490,8/6/2005
david clarke,3:56.950,7/17/1982,,,3:56.950,london (gbr),7/17/1982,,,,5/11/1905,gbr,3:56.950,7/17/1982
steven halliday,3:57.430,8/28/1989,,,3:57.430,gateshead (gbr),8/28/1989,,,,3/14/1968,gbr,3:57.430,8/28/1989
david mcmeekin,3:58.050,8/30/1976,,,3:58.050,london (gbr),8/30/1976,,,,2/10/1953,gbr,3:58.050,8/30/1976
james mcmurray,3:58.180,7/13/2021,,,3:58.180,"international stadium, gateshead (gbr)",7/13/2021,,,,1/18/1995,gbr,3:58.180,7/13/2021
thomas farrell,3:58.200,1/26/2013,,,,,,3:58.200,"fayetteville, ar (usa)",1/26/2013,3/23/1991,gbr,3:58.200,1/26/2013
matt barnes,3:58.390,6/25/1994,,,3:58.390,cork (irl),6/25/1994,,,,1/12/1968,gbr,3:58.390,6/25/1994
matthew de freitas,3:58.480,6/5/1993,,,3:58.480,portsmouth (gbr),6/5/1993,,,,9/19/1968,gbr,3:58.480,6/5/1993
oliver aitchison,3:58.590,2/13/2016,,,,,,3:58.590,"seattle, wa (usa)",2/13/2016,3/13/1992,gbr,3:58.590,2/13/2016
joe ewing,3:58.870,2/5/2022,,,,,,3:58.870,"boston univ. track & tennis center, boston, ma (usa)",2/5/2022,2/17/2002,gbr,3:58.870,2/5/2022
thomas buckner,3:58.870,6/5/1993,,,3:58.870,portsmouth (gbr),6/5/1993,,,,4/16/1963,gbr,3:58.870,6/5/1993
tiarnan crorken,3:58.890,7/13/2021,,,3:58.890,"international stadium, gateshead (gbr)",7/13/2021,,,,6/13/1999,gbr,3:58.890,7/13/2021
mark scrutton,3:58.950,6/10/1984,,,3:58.950,gateshead (gbr),6/10/1984,,,,4/14/1960,gbr,3:58.950,6/10/1984
dale king-clutterbuck,3:59.230,7/25/2015,,,3:59.230,"olympic stadium, london (gbr)",7/25/2015,,,,1/1/1992,gbr,3:59.230,7/25/2015
michael colthard,3:59.250,8/25/2007,,,3:59.250,london (gbr),8/25/2007,,,,12/28/1982,gbr,3:59.250,8/25/2007
mitch goose,3:59.260,2/17/2012,,,,,,3:59.260,"new york, ny (usa)",2/17/2012,3/16/1989,gbr,3:59.260,2/17/2012
seb anthony,3:59.260,2/12/2022,,,,,,3:59.260,"liberty indoor complex, lynchburg, va (usa)",2/12/2022,2/16/1997,gbr,3:59.260,2/12/2022
isaac akers,3:59.390,2/12/2022,,,,,,3:59.390,"gately indoor tf center, chicago, il (usa)",2/12/2022,5/6/1999,gbr,3:59.390,2/12/2022
richard callan,3:59.450,7/23/1985,,,3:59.450,edinburgh (gbr),7/23/1985,,,,11/15/1955,gbr,3:59.450,7/23/1985
pat chester,3:59.600,7/20/1985,,,3:59.600,london (gbr),7/20/1985,,,,11/11/1963,gbr,3:59.600,7/20/1985
philipp tulba-morrison,3:59.700,8/19/1998,,,3:59.700,"tooting bec athletics track, london (gbr)",8/19/1998,,,,9/20/1973,gbr,3:59.700,8/19/1998
tom mckean,3:59.700,2/7/1987,,,,,,3:59.700,"dallas, tx (usa)",2/7/1987,10/27/1963,gbr,3:59.700,2/7/1987
james heneghan,3:59.780,7/14/2021,,,3:59.780,"birmingham university athletics track, birmingham (gbr)",7/14/2021,,,,5/26/1999,gbr,3:59.780,7/14/2021
jon wild,3:59.790,4/1/1995,,,3:59.790,"hot springs village, ar (usa)",4/1/1995,,,,8/30/1973,gbr,3:59.790,4/1/1995
michael wilson,3:59.790,2/6/2022,,,,,,3:59.790,"ocean breeze athl. complex, new york, ny (usa)",2/6/2022,1/4/1996,gbr,3:59.790,2/6/2022
kenneth penney,3:59.900,7/14/1991,,,3:59.900,london (gbr),7/14/1991,,,,1/26/1963,gbr,3:59.900,7/14/1991
jonathan richards,3:59.940,7/7/1987,,,3:59.940,cork (irl),7/7/1987,,,,5/19/1964,gbr,3:59.940,7/7/1987
siegfried herrmann,3:59.900,2/25/1962,,,3:59.100,erfurt (ger),9/24/1963,3:58.600,berlin (ger),2/21/1965,11/7/1932,gdr,3:58.600,2/21/1965
jurgen haase,3:59.600,2/20/1966,,,,,,3:59.600,berlin (ger),2/20/1966,1/19/1945,gdr,3:59.600,2/20/1966
siegfried valentin,3:56.500,5/28/1959,,,3:56.500,potsdam (gdr),5/28/1959,,,,2/23/1936,gdr,3:56.500,5/28/1959
mario neumann,3:56.090,8/17/1990,,,3:56.090,"olympiastadion, berlin (ger)",8/17/1990,,,,9/7/1968,gdr,3:56.090,8/17/1990
jurgen may,3:55.920,8/30/1965,,,3:53.800,whanganui (nzl),12/11/1965,3:58.200,berlin (ger),2/20/1966,6/18/1942,gdr,3:53.800,12/11/1965
jurgen straub,3:55.340,8/26/1977,,,3:55.300,berlin (ger),8/26/1977,,,,11/3/1953,gdr,3:55.300,8/26/1977
andreas busse,3:53.550,8/20/1982,,,3:53.550,berlin (ger),8/20/1982,,,,5/6/1959,gdr,3:53.550,8/20/1982
timo benitz,3:59.860,8/19/2018,,,3:59.860,"alexander stadium, birmingham (gbr)",8/18/2018,,,,12/24/1991,ger,3:59.860,8/19/2018
sam parsons,3:59.700,9/5/2018,,,3:54.080,"tsv stadion, pfungstadt (ger)",9/6/2023,,,,6/18/1994,ger,3:54.080,9/6/2023
christian goy,3:59.610,3/10/2001,,,,,,3:59.430,"ames, ia (usa)",3/1/2002,9/9/1976,ger,3:59.430,3/1/2002
fabian clarkson,3:59.470,2/20/2013,,,,,,3:59.470,"fayetteville, ar (usa)",1/26/2013,12/13/1990,ger,3:59.470,2/20/2013
jamie williamson,3:58.970,7/16/2018,,,3:58.990,cork (irl),7/16/2018,,,,3/3/1997,ger,3:58.970,7/16/2018
amos bartelsmeyer,3:58.450,2/14/2015,,,3:53.330,"olympic stadium, london (gbr)",7/21/2019,3:50.450,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,7/25/1994,ger,3:50.450,2/11/2023
dirk heinze,3:57.950,1/18/2002,,,,,,3:57.950,"fayetteville, ar (usa)",1/18/2002,7/2/1976,ger,3:57.950,1/18/2002
mirko doring,3:57.500,3/10/1994,,,,,,3:57.500,karlsruhe (ger),3/1/1994,7/21/1971,ger,3:57.500,3/10/1994
rudiger stenzel,3:56.020,8/21/1992,,,3:52.460,"olympiastadion, berlin (ger)",8/26/1997,,,,4/16/1968,ger,3:52.460,8/26/1997
franek haschke,3:55.850,7/12/2002,,,3:55.850,"stadio olimpico, roma (ita)",7/12/2002,,,,3/28/1980,ger,3:55.850,7/12/2002
hauke fuhlbrugge,3:53.530,7/10/1991,,,3:50.520,oslo (nor),7/6/1991,,,,3/21/1966,ger,3:50.520,7/6/1991
homiyu tesfaye,3:49.860,6/11/2014,,,3:49.860,"bislett stadion, oslo (nor)",6/11/2014,,,,6/23/1993,ger,3:49.860,6/11/2014
jens-peter herold,3:49.220,7/20/1988,,,3:49.220,oslo (nor),7/2/1988,3:53.740,karlsruhe (ger),3/1/1994,6/2/1965,ger,3:49.220,7/20/1988
maximilian thorwirth,3:55.880,8/26/2023,,,3:55.880,"university of stirling track, stirling (gbr)",8/26/2023,,,,1/9/1995,ger,3:55.880,8/26/2023
elias schreml,3:57.850,1/29/2022,,,,,,3:57.850,"randal tyson indoor center, fayetteville, ar (usa)",1/29/2022,10/12/2000,ger,3:57.850,1/29/2022
sampson laari,3:58.780,2/26/2017,,,,,,3:58.650,"boston, ma (usa)",2/25/2018,3/3/1993,gha,3:58.650,2/25/2018
andreas dimitrakis,3:59.220,1/17/2020,,,,,,3:59.220,"ocean breeze athl. complex, new york, ny (usa)",1/17/2020,9/8/1990,gre,3:59.220,1/17/2020
spyros christopoulos,3:56.110,5/30/1992,,,3:56.110,san donato milanese (ita),5/30/1992,,,,8/16/1964,gre,3:56.110,5/30/1992
luis grijalva,3:53.530,1/27/2023,,,,,,3:53.530,"boston univ. track & tennis center, boston, ma (usa)",1/27/2023,4/10/1999,gua,3:53.530,1/27/2023
janos zemen,3:59.200,5/28/1976,,,3:58.660,london (gbr),8/30/1976,,,,8/29/1950,hun,3:58.660,8/30/1976
istvan rozsavolgyi,3:59.000,8/26/1956,,,3:59.000,budapest (hun),8/26/1956,,,,3/30/1929,hun,3:59.000,8/26/1956
laszlo tabori,3:59.000,5/28/1955,,,3:59.000,london (gbr),5/28/1955,,,,7/6/1931,hun,3:59.000,5/28/1955
laszlo toth,3:58.910,8/28/1985,,,3:58.910,koblenz (ger),8/28/1985,,,,8/31/1955,hun,3:58.910,8/28/1985
istvan szogi,3:56.720,7/5/2022,,,3:56.720,"munster technological university track, cork (irl)",7/5/2022,3:58.000,"atleticka hala, ostrava (cze)",2/2/2023,9/12/1995,hun,3:56.720,7/5/2022
balazs tolgyesi,3:55.340,8/25/1996,,,3:55.340,sheffield (gbr),8/25/1996,,,,1/10/1973,hun,3:55.340,8/25/1996
istvan knipl,3:55.130,8/29/1984,,,3:55.130,koblenz (ger),8/29/1984,,,,7/11/1961,hun,3:55.130,8/29/1984
paul robinson,3:59.990,7/8/2011,,,3:54.770,"bislett stadion, oslo (nor)",6/11/2014,,,,5/24/1991,irl,3:54.770,6/11/2014
alistair ian cragg,3:59.940,2/28/2003,,,,,,3:55.040,"fayetteville, ar (usa)",1/21/2006,6/13/1980,irl,3:55.040,1/21/2006
seamus mccann,3:59.840,7/5/1988,,,3:59.840,cork (irl),7/5/1988,,,,6/10/1966,irl,3:59.840,7/5/1988
basil clifford,3:59.800,8/30/1964,,,3:59.800,london (gbr),8/3/1964,,,,4/20/1938,irl,3:59.800,8/30/1964
gary murray,3:59.520,8/6/2005,,,3:59.520,london (gbr),8/6/2005,,,,1/31/1980,irl,3:59.520,8/6/2005
james mcilroy,3:59.480,9/5/1998,,,3:59.480,solihull (gbr),9/5/1998,,,,12/30/1976,irl,3:59.480,9/5/1998
ray flynn,3:59.400,4/30/1977,,,3:49.770,oslo (nor),7/7/1982,3:51.200,"east rutherford, nj (usa)",2/27/1983,1/22/1957,irl,3:49.770,7/7/1982
kieran stack,3:59.400,2/6/1988,,,,,,3:59.400,"south bend, in (usa)",2/6/1988,5/18/1905,irl,3:59.400,2/6/1988
john coghlan,3:59.320,1/28/2012,,,,,,3:59.320,"boston, ma (usa)",1/28/2012,9/6/1988,irl,3:59.320,1/28/2012
niall bruton,3:59.230,7/5/1991,,,3:53.930,oslo (nor),7/5/1996,3:58.140,"new york, ny (usa)",2/3/1995,10/27/1971,irl,3:53.930,7/5/1996
shane healy,3:59.230,6/25/1994,,,3:59.230,cork (irl),6/25/1994,,,,10/5/1968,irl,3:59.230,6/25/1994
david taylor,3:59.190,6/24/1980,,,3:54.480,cork (irl),7/13/1983,,,,3/7/1959,irl,3:54.480,7/13/1983
gerry kiernan,3:59.120,6/19/1976,,,3:59.120,london (gbr),6/19/1976,,,,5/31/1953,irl,3:59.120,6/19/1976
oisin o gailin,3:59.070,1/27/2023,,,,,,3:59.070,"boston univ. track & tennis center, boston, ma (usa)",1/27/2023,3/14/1997,irl,3:59.070,1/27/2023
ron delany,3:59.000,6/10/1956,,,3:57.500,dublin (irl),8/6/1958,,,,3/6/1935,irl,3:57.500,8/6/1958
mark christie,3:58.990,8/6/2005,,,3:58.990,london (gbr),8/6/2005,,,,1/12/1985,irl,3:58.990,8/6/2005
andrew walker,3:58.960,10/29/2000,,,3:58.960,"san francisco, ca (usa)",10/29/2000,,,,5/6/1977,irl,3:58.960,10/29/2000
eoin everard,3:58.930,7/17/2013,,,3:58.930,dublin (irl),7/17/2013,,,,4/23/1986,irl,3:58.930,7/17/2013
brian fay,3:58.910,7/28/2021,,,3:52.030,"dempsey indoor, seattle, wa (usa)",1/28/2023,3:58.500,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,11/9/1998,irl,3:52.030,1/28/2023
ken nason,3:58.910,4/10/1995,,,3:58.090,cork (irl),6/24/1995,,,,3/29/1972,irl,3:58.090,6/24/1995
marcus o'sullivan,3:58.840,1/22/1983,,,3:51.640,oslo (nor),7/1/1989,3:50.940,"east rutherford, nj (usa)",2/13/1988,12/22/1961,irl,3:50.940,2/13/1988
frank o'mara,3:58.820,6/23/1981,,,3:51.060,"stadio olimpico, roma (ita)",9/10/1986,3:52.300,"fayetteville, ar (usa)",1/25/1986,7/17/1960,irl,3:51.060,9/10/1986
micheal power,3:58.760,1/13/2023,,,,,,3:58.760,"randal tyson indoor center, fayetteville, ar (usa)",1/13/2023,1/27/1999,irl,3:58.760,1/13/2023
des english,3:58.710,6/25/1994,,,3:58.710,cork (irl),4/25/1994,,,,6/6/1967,irl,3:58.710,6/25/1994
mark carroll,3:58.640,7/9/1993,,,3:50.620,"bislett stadion, oslo (nor)",7/28/2000,3:54.500,"boston, ma (usa)",2/18/2001,1/15/1972,irl,3:50.620,7/28/2000
frank murphy,3:58.600,6/10/1968,,,3:58.100,"los angeles, ca (usa)",6/7/1969,,,,5/21/1947,irl,3:58.100,6/7/1969
eugene curran,3:58.540,7/8/1986,,,3:58.540,cork (irl),7/8/1986,,,,5/17/1905,irl,3:58.540,7/8/1986
nicholas griggs,3:58.510,7/2/2022,,,3:55.730,"morton stadium, dublin (irl)",7/14/2023,3:56.400,"national indoor arena, abbotstown, dublin (irl)",3/10/2022,12/18/2004,irl,3:55.730,7/14/2023
tomas cotter,3:58.500,7/24/2015,,,3:58.500,dublin (irl),7/24/2015,,,,12/28/1990,irl,3:58.500,7/24/2015
sean o'neill,3:58.420,7/7/1987,,,3:58.420,cork (irl),7/7/1987,3:58.440,"boston, ma (usa)",1/31/1988,12/10/1963,irl,3:58.420,7/7/1987
frank conway,3:58.320,1/31/1988,,,3:58.820,cork (irl),7/5/1988,3:56.780,"boston, ma (usa)",1/22/1989,5/20/1905,irl,3:56.780,1/22/1989
john hartnett,3:58.300,5/12/1973,,,3:54.700,"eugene, or (usa)",6/20/1973,3:59.800,toronto (can),2/15/1974,7/7/1950,irl,3:54.700,6/20/1973
darragh mcelhinney,3:58.200,7/28/2021,,,3:58.150,"morton stadium, dublin (irl)",7/2/2022,,,,11/9/2000,irl,3:58.150,7/2/2022
david campbell,3:58.190,2/16/2008,,,3:58.190,whanganui (nzl),2/16/2008,,,,1/28/1982,irl,3:58.190,2/16/2008
charlie o'donovan,3:58.170,2/11/2022,,,3:58.170,"vanderbilt multipurpose facility, nashville, tn (usa)",2/11/2022,3:57.460,"ashenfelter indoor track, state college, pa (usa)",1/29/2022,8/6/1999,irl,3:57.460,1/29/2022
niall o'shaughnessy,3:58.100,5/10/1976,,,3:56.960,"wichita, ks (usa)",5/29/1976,3:55.400,columbia (usa),1/28/1977,11/23/1955,irl,3:55.400,1/28/1977
gareth turnbull,3:57.890,4/29/2000,,,3:57.610,"philadelphia, pa (usa)",4/27/2002,3:58.880,"new york, ny (usa)",2/3/2007,5/14/1979,irl,3:57.610,4/27/2002
kevin kelly,3:57.860,7/9/2021,,,3:57.860,"icahn stadium, new york, ny (usa)",7/9/2021,,,,8/11/1995,irl,3:57.860,7/9/2021
david mccarthy,3:57.750,2/14/2009,,,3:57.850,cork (irl),7/2/2013,3:55.750,"boston, ma (usa)",1/28/2012,8/3/1988,irl,3:55.750,1/28/2012
tom moloney,3:57.700,7/13/1983,,,3:54.680,cork (irl),7/8/1986,,,,3/11/1960,irl,3:54.680,7/8/1986
shane bracken,3:57.570,2/11/2022,,,3:57.570,"vanderbilt multipurpose facility, nashville, tn (usa)",2/11/2022,3:58.010,"randal tyson indoor center, fayetteville, ar (usa)",1/28/2023,6/14/1998,irl,3:57.570,2/11/2022
luke mccann,3:56.930,7/13/2021,,,3:53.820,"tsv stadion, pfungstadt (ger)",9/6/2023,3:53.550,"armory track&field center, new york, ny (usa)",2/11/2023,3/12/1998,irl,3:53.550,2/11/2023
andrew coscoran,3:56.850,1/25/2020,,,3:55.310,"parliament hill fields athletics track, london (gbr)",5/14/2022,3:53.640,"ocean breeze athl. complex, new york, ny (usa)",2/6/2022,6/18/1996,irl,3:53.640,2/6/2022
enda fitzpatrick,3:56.360,7/9/1985,,,3:56.360,cork (irl),7/9/1985,,,,4/28/1965,irl,3:56.360,7/9/1985
cathal doyle,3:56.350,7/5/2022,,,3:56.050,"morton stadium, dublin (irl)",7/14/2023,,,,11/12/1997,irl,3:56.050,7/14/2023
james nolan,3:56.310,6/27/1999,,,3:54.620,rieti (ita),9/7/2003,3:56.500,stockholm (swe),2/15/2001,1/27/1977,irl,3:54.620,9/7/2003
eamonn coghlan,3:56.200,5/10/1975,,,3:51.590,oslo (nor),7/9/1983,3:49.780,"east rutherford, nj (usa)",2/27/1983,11/21/1952,irl,3:49.780,2/27/1983
paul donovan,3:55.820,7/30/1984,,,3:55.820,cork (irl),7/3/1984,3:56.390,"fayetteville, ar (usa)",1/25/1986,7/11/1963,irl,3:55.820,7/30/1984
john travers,3:55.440,7/11/2014,,,3:55.440,dublin (irl),7/11/2014,3:58.100,"new york, ny (usa)",2/20/2016,3/16/1991,irl,3:55.440,7/11/2014
ronan mcmahon-staggs,3:54.930,2/17/2023,,,,,,3:54.930,"randal tyson indoor center, fayetteville, ar (usa)",2/17/2023,9/1/2002,irl,3:54.930,2/17/2023
gerry o'reilly,3:54.630,6/14/1986,,,3:54.630,"villanova, pa (usa)",6/8/1986,3:58.150,"boston, ma (usa)",1/25/1987,7/1/1964,irl,3:54.630,6/14/1986
ciaran o lionaird,3:57.020,7/25/2012,,,3:57.020,dublin (irl),7/25/2012,3:52.100,"new york, ny (usa)",2/16/2013,4/11/1988,irl,3:52.100,2/16/2013
sean tobin,3:57.000,7/18/2017,,,3:57.000,cork (irl),7/18/2017,3:58.280,"new york, ny (usa)",2/3/2018,7/20/1994,irl,3:57.000,7/18/2017
baldvin magnusson,3:58.080,2/5/2022,,,3:57.120,"loftus sports center, south bend, in (usa)",2/4/2023,,,,4/7/1999,isl,3:57.120,2/4/2023
jon didriksson,3:57.630,8/25/1982,,,3:57.630,koblenz (ger),8/25/1982,,,,6/17/1955,isl,3:57.630,8/25/1982
christian obrist,3:59.740,6/29/2001,,,3:55.550,"stadio olimpico, roma (ita)",7/12/2002,,,,11/20/1980,ita,3:55.550,7/12/2002
pietro arese,3:59.560,9/5/2020,,,3:56.800,"arena civica, milano (ita)",9/4/2021,3:55.710,"palaindoor, padova (ita)",1/29/2023,10/8/1999,ita,3:55.710,1/29/2023
gennaro di napoli,3:59.500,5/26/1991,,,3:51.960,san donato milanese (ita),5/30/1992,,,,3/5/1968,ita,3:51.960,5/30/1992
alessandro lambruschini,3:59.460,5/30/1992,,,3:59.460,san donato milanese (ita),5/30/1992,,,,1/7/1965,ita,3:59.460,5/30/1992
jacopo de marchi,3:59.290,9/4/2021,,,3:59.290,"arena civica, milano (ita)",9/4/2021,,,,10/21/1998,ita,3:59.290,9/4/2021
claudio patrignani,3:59.180,6/7/1981,,,3:57.920,rieti (ita),9/9/1981,,,,1/9/1959,ita,3:57.920,9/9/1981
mohad abdikadar sheik ali,3:58.970,6/11/2022,,,3:57.180,"arena civica, milano (ita)",9/4/2021,,,,6/12/1993,ita,3:57.180,9/4/2021
andrea cori,3:58.760,9/5/1993,,,3:58.760,rieti (ita),9/5/1993,,,,4/23/1966,ita,3:58.760,9/5/1993
pietro riva,3:57.990,9/5/2020,,,3:57.900,"centro enrico mattei, san donato milanese (ita)",9/5/2020,,,,5/1/1997,ita,3:57.900,9/5/2020
luca vandi,3:57.930,8/28/1989,,,3:57.930,gateshead (gbr),8/28/1989,,,,6/21/1962,ita,3:57.930,8/28/1989
riccardo tamassia,3:57.860,6/11/2022,,,3:57.860,"arena civica, milano (ita)",6/11/2022,,,,6/18/1993,ita,3:57.860,6/11/2022
francesco arese,3:57.800,10/9/1969,,,3:56.700,berlin (ger),9/7/1971,,,,4/13/1944,ita,3:56.700,9/7/1971
mattia padovani,3:57.710,6/11/2022,,,3:57.710,"arena civica, milano (ita)",6/11/2022,3:59.940,"palaindoor, padova (ita)",1/29/2023,8/26/1995,ita,3:57.710,6/11/2022
ala zoghlami,3:57.700,9/4/2021,,,3:57.070,"arena civica, milano (ita)",6/11/2022,,,,6/19/1994,ita,3:57.070,6/11/2022
joao bussotti neves,3:57.540,9/5/2020,,,3:57.540,"centro enrico mattei, san donato milanese (ita)",9/5/2020,3:56.450,"palaindoor, padova (ita)",1/29/2023,5/10/1993,ita,3:56.450,1/29/2023
gianni bruzzi,3:57.390,5/30/1992,,,3:57.390,san donato milanese (ita),5/30/1992,,,,4/15/1967,ita,3:57.390,5/30/1992
yassin bouih,3:57.190,9/4/2021,,,3:57.190,"arena civica, milano (ita)",9/4/2021,,,,11/24/1996,ita,3:57.190,9/4/2021
vittorio fontanella,3:57.010,8/8/1980,,,3:52.310,zurich (sui),8/19/1981,,,,3/17/1953,ita,3:52.310,8/19/1981
osama zoghlami,3:56.870,9/5/2020,,,3:55.000,"arena civica, milano (ita)",6/11/2022,,,,6/19/1994,ita,3:55.000,6/11/2022
stefano mei,3:55.960,9/10/1983,,,3:55.960,roma (ita),9/1/1983,,,,2/3/1963,ita,3:55.960,9/10/1983
fabio olivo,3:55.940,5/30/1992,,,3:55.940,san donato milanese (ita),5/30/1992,,,,2/5/1966,ita,3:55.940,5/30/1992
lorenzo lazzari,3:55.890,7/7/1999,,,3:55.890,"stadio olimpico, roma (ita)",7/7/1999,,,,8/23/1974,ita,3:55.890,7/7/1999
ossama meslek,3:55.390,5/14/2022,,,3:55.390,"parliament hill fields athletics track, london (gbr)",5/14/2022,,,,1/8/1997,ita,3:55.390,5/14/2022
yemaneberhan crippa,3:54.750,6/11/2022,,,3:52.080,"centro enrico mattei, san donato milanese (ita)",9/5/2020,,,,10/15/1996,ita,3:52.080,9/5/2020
giuseppe d'urso,3:52.720,7/7/1999,,,3:52.720,"stadio olimpico, roma (ita)",7/7/1999,,,,9/15/1969,ita,3:52.720,7/7/1999
byron dyce,3:59.600,5/16/1971,,,3:57.340,stockholm (swe),7/1/1974,,,,3/27/1948,jam,3:57.340,7/1/1974
steve green,3:59.600,3/4/1994,,,,,,3:59.600,"ames, ia (usa)",3/4/1994,2/18/1971,jam,3:59.600,3/4/1994
gawain guy,3:58.210,6/12/1983,,,3:57.180,"eugene, or (usa)",6/6/1987,,,,1/28/1962,jam,3:57.180,6/6/1987
takashi ishii,3:59.700,12/10/1977,,,3:59.700,melbourne (aus),12/10/1977,,,,8/27/1954,jpn,3:59.700,12/10/1977
takeshi yamamoto,3:59.250,5/11/1996,,,3:59.250,osaka (jpn),5/11/1996,,,,8/1/1973,jpn,3:59.250,5/11/1996
fumikazu kobayashi,3:59.060,6/15/2002,,,3:59.060,amagasaki (jpn),6/15/2002,,,,3/21/1978,jpn,3:59.060,6/15/2002
kiyonari shibata,3:58.890,5/11/1996,,,3:58.890,osaka (jpn),5/11/1996,,,,3/27/1973,jpn,3:58.890,5/11/1996
nanami arai,3:58.350,2/9/2019,,,,,,3:56.600,"boston, ma (usa)",2/24/2019,12/26/1994,jpn,3:56.600,2/24/2019
ryoma aoki,3:56.280,2/11/2023,,,,,,3:56.280,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,6/16/1997,jpn,3:56.280,2/11/2023
kazuto iizawa,3:56.010,2/4/2023,,,,,,3:56.010,"boston univ. track & tennis center, boston, ma (usa)",2/4/2023,2/2/2001,jpn,3:56.010,2/4/2023
